image_location,TimeStamp,Roll,Pitch,Yaw,Mast Roll,Lat,Lon,Alt,GPS Qual,DateTime
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934856195908885.jpeg,1667934856.266491,173.43726505661382,-0.7881880617381677,171.0019637500759,-15.312,42.017974935,-93.77365699833334,344.509,4,2022-11-08-13-14-16-266,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934856511815453.jpeg,1667934856.5869157,173.35906673825212,-0.625081863692594,171.61711506144542,-16.562,42.01797198166667,-93.77365610166666,344.495,4,2022-11-08-13-14-16-587,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934856874254609.jpeg,1667934856.9397137,174.09607896282117,-0.39948901000556925,172.05772607956362,-15.625,42.01797021666667,-93.77365655166666,344.497,4,2022-11-08-13-14-16-939,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934857176424259.jpeg,1667934857.2704425,173.44830626509432,-0.657415526792834,171.33023365683752,-16.812,42.017968446666664,-93.77365623333333,344.5,4,2022-11-08-13-14-17-270,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934857530847996.jpeg,1667934857.606552,175.99671506891008,-0.2832241880862669,171.17589734200962,-14.562,42.017965706666665,-93.77365696666666,344.513,4,2022-11-08-13-14-17-606,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934857863966155.jpeg,1667934857.941524,174.56520423796715,-0.5664756477856323,171.25127954811413,-14.187,42.01796406166667,-93.77365761166666,344.513,4,2022-11-08-13-14-17-941,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934858177334834.jpeg,1667934858.2601657,173.7403888165515,-0.7318238631175659,171.39264662258975,-15.375,42.01796201333333,-93.77365680666666,344.518,4,2022-11-08-13-14-18-260,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934858511029187.jpeg,1667934858.5902193,175.18573367275667,-0.7768259773252778,171.53439899766002,-15.062,42.01795928,-93.773656965,344.518,4,2022-11-08-13-14-18-590,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934858844287839.jpeg,1667934858.9279203,173.75748910745216,-1.1735942790323308,169.99825900556937,-15.562,42.017957446666664,-93.77365675333333,344.512,4,2022-11-08-13-14-18-928,
/media/phenobot3/Extreme SSD/under-canopy-images/Test3/enviratron/s1/1667934859177107797.jpeg,1667934859.2520323,172.84012399723676,-1.445711260271262,168.82860492484423,-17.0,42.01795541333333,-93.77365638666667,344.516,4,2022-11-08-13-14-19-252,
